"","WNS","Cycles","FMax","LUs","Pins","Regs","Blocks","RAM","DPS"
"1",1,193468,265.82,1,3,4000,1,1,0
"2",Inf,193468,265.82,1,3,4000,1,1,0
"3",Inf,193468,265.82,1,3,4000,1,1,0
"4",Inf,193468,265.82,1,3,4000,1,1,0
"5",1,193468,265.82,1,3,4000,1,1,0
"6",Inf,193468,265.82,1,3,4000,1,1,0
"7",Inf,193468,265.82,1,3,4000,1,1,0
"8",Inf,193468,265.82,1,3,4000,1,1,0
"9",Inf,193468,265.82,1,3,4000,1,1,0
"10",Inf,193468,265.82,1,3,4000,1,1,0
"11",Inf,193468,265.82,1,3,4000,1,1,0
"12",Inf,193468,265.82,1,3,4000,1,1,0
"13",1,193468,265.82,1,3,4000,1,1,0
"14",1,193468,265.82,1,3,4000,1,1,0
"15",Inf,193468,265.82,1,3,4000,1,1,0
"16",Inf,193468,265.82,1,3,4000,1,1,0
"17",Inf,193468,265.82,1,3,4000,1,1,0
"18",Inf,193468,265.82,1,3,4000,1,1,0
"19",1.50005251694,193468,265.82,1,3,4000,1,1,0
"20",NA,193468,265.82,1,3,4000,1,1,0
"21",1,193468,265.82,1,3,4000,1,1,0
"22",Inf,193468,265.82,1,3,4000,1,1,0
"23",Inf,193468,265.82,1,3,4000,1,1,0
"24",Inf,193468,265.82,1,3,4000,1,1,0
"25",1.00517101878,193468,265.82,1,3,4000,1,1,0
"26",Inf,193468,265.82,1,3,4000,1,1,0
"27",Inf,193468,265.82,1,3,4000,1,1,0
"28",Inf,193468,265.82,1,3,4000,1,1,0
"29",1,193468,265.82,1,3,4000,1,1,0
"30",1,193468,265.82,1,3,4000,1,1,0
"31",Inf,193468,265.82,1,3,4000,1,1,0
"32",Inf,193468,265.82,1,3,4000,1,1,0
"33",Inf,193468,265.82,1,3,4000,1,1,0
"34",Inf,193468,265.82,1,3,4000,1,1,0
"35",1,193468,265.82,1,3,4000,1,1,0
"36",Inf,193468,265.82,1,3,4000,1,1,0
"37",Inf,193468,265.82,1,3,4000,1,1,0
"38",NA,193468,265.82,1,3,4000,1,1,0
"39",1,193468,265.82,1,3,4000,1,1,0
"40",Inf,193468,265.82,1,3,4000,1,1,0
"41",0.973732291288,169142,268.24,1,3,3799,1,1,0
"42",0.973732291288,169142,268.24,1,3,3799,1,1,0
"43",Inf,169142,268.24,1,3,3799,1,1,0
"44",Inf,169142,268.24,1,3,3799,1,1,0
"45",Inf,169142,268.24,1,3,3799,1,1,0
"46",Inf,169142,268.24,1,3,3799,1,1,0
"47",1.09607350561,169142,268.24,1,3,3799,1,1,0
"48",Inf,169142,268.24,1,3,3799,1,1,0
"49",1.05439545282,169142,268.24,1,3,3799,1,1,0
"50",0.973732291288,169142,268.24,1,3,3799,1,1,0
"51",0.993564651742,169142,268.24,1,3,3799,1,1,0
"52",Inf,169142,268.24,1,3,3799,1,1,0
"53",0.973732291288,169142,268.24,1,3,3799,1,1,0
"54",Inf,169142,268.24,1,3,3799,1,1,0
